TimeStamp,Count
20120522,5159
20120523,2576
20120524,2563
20120525,5296
20120526,5800
20120527,5879
20120528,5633
20120529,5025
20120530,2576
20120601,2541
20120602,5122
20120603,5709
20120604,4846
20120605,5541
20120606,5293
20120607,2690
20120608,2564
20120609,5387
20120610,5880
20120611,6105
20120612,5975
20120613,5349
20120614,2586
20120615,2604
20120616,5571
20120617,5813
20120618,6071
20120619,5950
20120620,5332
20120621,2629
20120622,2677
20120623,5484
20120624,5786
20120625,6108
20120626,5993
20120627,5360
20120628,2697
20120629,2632
20120630,5486
20120631,6024
20120701,5699
20120702,5728
20120703,5273
20120704,2592
20120705,2624
20120706,5218
20120707,5717
20120708,5868
20120709,5845
20120710,5246
20120711,2442
20120712,2600
20120713,5383
20120714,5690
20120715,5110
20120716,5667
20120717,5120
20120718,2723
20120719,2483
20120720,5010
20120721,5450
20120722,5716
20120723,5774
20120724,5150
20120725,2661
20120726,2602
20120727,5139
20120728,5609
20120729,5854
20120730,5900
20120731,5010
20120801,2608
20120802,2584
20120803,4626
20120804,5471
20120805,5725
20120806,5756
20120807,5149
20120808,2693
20120809,2704
20120810,5358
20120811,5721
20120812,5707
20120813,5865
20120814,5210
20120815,2483
20120816,2632
20120817,5508
20120818,5642
20120819,5554
20120820,5663
20120821,5282
20120822,2834
20120823,2661
20120824,5463
20120825,5706
20120826,5975
20120827,6033
20120828,5229
20120829,2695
20120830,2604
20120901,5181
20120902,5343
20120903,5741
20120904,5874
20120905,5314
20120906,2957
20120907,2866
20120908,5264
20120909,5832
20120910,6149
20120911,6178
20120912,5582
20120913,2909
20120914,2945
20120915,5683
20120916,6133
20120917,6232
20120918,6309
20120919,5622
20120920,3071
20120921,3092
20120922,5736
20120923,5991
20120924,5809
20120925,6036
20120926,5216
20120927,2921
20120928,2876
20120929,5492
20120930,5582
20120931,5885
20121001,5732
20121002,5477
20121003,3110
20121004,3051
20121005,5792
20121006,5965
20121007,6031
20121008,6282
20121009,5488
20121010,3019
20121011,3022
20121012,5337
20121013,5579
20121014,5888
20121015,6064
20121016,5592
20121017,3182
20121018,3184
20121019,5977
20121020,6263
20121021,6200
20121022,5574
20121023,4819
20121024,3153
20121025,3243
20121026,5820
20121027,6346
20121028,6691
20121029,6477
20121030,5691
20121101,3213
20121102,3339
20121103,5992
20121104,6415
20121105,6457
20121106,6268
20121107,5711
20121108,3285
20121109,3205
20121110,5816
20121111,6131
20121112,6358
20121113,6205
20121114,5413
20121115,2964
20121116,2996
20121117,5506
20121118,5955
20121119,6094
20121120,5774
20121121,4888
20121122,2709
20121123,2559
20121124,3324
20121125,2503
20121126,3881
20121127,4594
20121128,4391
20121129,2895
20121130,2710
20121131,3292
20130001,2620
20130002,4890
20130003,5512
20130004,5520
20130005,3335
20130006,3188
20130007,5637
20130008,6150
20130009,6401
20130010,6404
20130011,5972
20130012,3288
20130013,3253
20130014,5549
20130015,6358
20130016,6485
20130017,6400
20130018,5909
20130019,3283
20130020,3262
20130021,5898
20130022,6583
20130023,6694
20130024,6666
20130025,5857
20130026,3299
20130027,3443
20130028,6171
20130029,6656
20130030,6826
20130031,6583
20130101,6163
20130102,3413
20130103,3440
20130104,6154
20130105,6610
20130106,6916
20130107,6951
20130108,6148
20130109,3101
20130110,3529
20130111,6096
20130112,6572
20130113,6767
20130114,6552
20130115,5993
20130116,3530
20130117,3497
20130118,6231
20130119,7151
20130120,7012
20130121,7038
20130122,6472
20130123,3759
20130124,3496
20130125,6535
20130126,7076
20130127,7168
20130128,7205
20130201,6283
20130202,3723
20130203,3687
20130204,6641
20130205,7142
20130206,7487
20130207,7346
20130208,6546
20130209,3677
20130210,3744
20130211,6784
20130212,7258
20130213,7379
20130214,7393
20130215,6520
20130216,3714
20130217,3631
20130218,6700
20130219,7364
20130220,7383
20130221,7173
20130222,6403
20130223,3704
20130224,3715
20130225,6721
20130226,6976
20130227,6924
20130228,6930
20130229,5512
20130230,3549
20130231,3469
20130301,5608
20130302,7159
20130303,7357
20130304,7260
20130305,6619
20130306,3673
20130307,3846
20130308,6792
20130309,7327
20130310,7411
20130311,6845
20130312,6700
20130313,3605
20130314,3743
20130315,6509
20130316,6915
20130317,7119
20130318,7040
20130319,6230
20130320,3666
20130321,3453
20130322,6593
20130323,7000
20130324,7217
20130325,6997
20130326,6265
20130327,3466
20130328,3640
20130329,6381
20130330,6435
20130401,5450
20130402,6621
20130403,5972
20130404,3385
20130405,3276
20130406,5862
20130407,6666
20130408,6636
20130409,6506
20130410,5869
20130411,3290
20130412,3253
20130413,6212
20130414,6735
20130415,6825
20130416,6952
20130417,6168
20130418,3336
20130419,3295
20130420,5987
20130421,6731
20130422,6926
20130423,6953
20130424,5976
20130425,3080
20130426,3038
20130427,5465
20130428,6605
20130429,6894
20130430,6860
20130431,6141
20130501,3326
20130502,3131
20130503,6117
20130504,6679
20130505,6969
20130506,6910
